item,itemLabel,constituency,constituencyLabel,party,partyLabel
"",Kawira Mwangaza,Q15045704,Meru,Q327591,Independent
"",Safia Sheikh Adan,Q1323683,Marsabit,Q27963537,Jubilee Party
"",Amina Gedow Hassan,Q1477874,Mandera,Q42954840,Economic Freedom Party
"",Rose Museo Mumo,Q473717,Makueni,Q5251223,Wiper Democratic Movement - Kenya
"",Joyce Kamene,Q1882639,Machakos,Q5251223,Wiper Democratic Movement - Kenya
"",Ruweida Mohamed Obo,Q1951652,Lamu,Q27963537,Jubilee Party
"",Catherine Wanjiku Waruguru,Q1800699,Laikipia,Q27963537,Jubilee Party
"",Zuleikha Juma Hassan,Q952571,Kwale,Q1640905,Orange Democratic Movement
"",Irene Muthoni Kasalu,Q1722597,Kitui,Q5251223,Wiper Democratic Movement - Kenya
"",Rozaah Akinyi Buyu,Q1743809,Kisumu,Q1640905,Orange Democratic Movement
"",Janet Ongera,Q1743730,Kisii,Q1640905,Orange Democratic Movement
"",Purity Wangui Ngirici,Q2230311,Kirinyaga,Q27963537,Jubilee Party
"",Gertrude Mbeyu Mwanyanje,Q1741307,Kilifi,Q1640905,Orange Democratic Movement
Q96741824,Gathoni Wa Muchomba,Q2575594,Kiambu,Q27963537,Jubilee Party
"",Florence C.K. Bore,Q1739252,Kericho,Q27963537,Jubilee Party
"",Elsie Busihile Muhanda,Q1721867,Kakamega,Q1640905,Orange Democratic Movement
"",Janet Marania Teyiaa,Q285072,Kajiado,Q27963537,Jubilee Party
"",Rehema Dida Jaldesa,Q1499046,Isiolo,Q27963537,Jubilee Party
"",Gladys Atieno Nyasuna Wanga,Q1625834,Homa Bay,Q1640905,Orange Democratic Movement
"",Anab Mohamed Gure,Q1494292,Garissa,Q27963537,Jubilee Party
"",Jane Wanjuki Njiru,Q1335242,Embu,Q27963537,Jubilee Party
"",Jane Jepkorir Kiptoo Chebaibai,Q15216433,Elgeyo/Marakwet,Q27963537,Jubilee Party
"",Florence Mwikali Mutua,Q1017519,Busia,Q1640905,Orange Democratic Movement
"",Catherine Nanjala Wambilianga,Q2928204,Bungoma,Q5473121,FORD - Kenya
"",Joyce Korir Chepkoech,Q891952,Bomet,Q27963537,Jubilee Party
"",Gladwell Jesire Cheruiyot,Q808201,Baringo,Q1422517,Kenya African National Union
"",Wilson Sossion,,,Q1640905,Orange Democratic Movement
"",Sammy Kipkorir Seroney,,,Q5251223,Wiper Democratic Movement - Kenya
"",Prof. Jacquiline Adhiambo Oduol,,,Q1640905,Orange Democratic Movement
"",Nasri Sahal Ibrahim,,,Q5473121,FORD - Kenya
"",Maina Kamanda,,,Q27963537,Jubilee Party
"",Jennifer Shamalla,,,Q27963537,Jubilee Party
"",Halima Yussuf Mucheke,,,Q27963537,Jubilee Party
"",Godfrey Osotsi,,,Q47489380,Amani National Congress
"",Gideon Keter,,,Q27963537,Jubilee Party
Q98118573,Dennitah Ghati,,,Q1640905,Orange Democratic Movement
"",David Ole Sankok,,,Q27963537,Jubilee Party
Q5056517,Cecily Mutitu Mbarire,,,Q27963537,Jubilee Party
