item,itemLabel,constituency,constituencyLabel,party,partyLabel
"",Geoffrey Makokha Odanga,Q24236285,Matayos,Q1640905,Orange Democratic Movement
"",Anthony Tom Oluoch,Q55622420,Mathare,Q1640905,Orange Democratic Movement
"",Peter Kimari Kihara,Q6787280,Mathioya,Q27963537,Jubilee Party
"",Rigathi Gachagua,Q6787283,Mathira,Q27963537,Jubilee Party
"",Kassim Sawa Tandaza,Q6791957,Matuga,Q47489380,Amani National Congress
"",Justus Murunga Makokha,Q17089719,Matungu,Q47489380,Amani National Congress
"",Stephen Mutinda Mule,Q17089728,Matungulu,Q5251223,Wiper Democratic Movement - Kenya
"",Patrick Makau King'ola,Q47463421,Mavoko,Q5251223,Wiper Democratic Movement - Kenya
"",Charles Muriuki Njagagua,Q14475849,Mbeere North,Q27963537,Jubilee Party
"",Geoffrey Kingagi Muturi,Q5516225,Mbeere South,Q27963537,Jubilee Party
"",Erastus Kivasu Nzioka,Q6799757,Mbooni,Q47490108,New Democrats
"",Daniel Kamuren Tuitoek,Q6890697,Mogotio,Q27963537,Jubilee Party
"",Silas Kipkoech Tiren,Q55623569,Moiben,Q27963537,Jubilee Party
"",Francis Kuria Kimani,Q6896735,Molo,Q27963537,Jubilee Party
"",Vincent Kipkurui Tuwei,Q6916414,Mosop,Q27963537,Jubilee Party
"",Qalicha Gufu Wario,Q6927587,Moyale,Q27963537,Jubilee Party
Q47493967,Suleiman Dori Ramadhani (2017–20),Q6930119,Msambweni,Q1640905,Orange Democratic Movement
"",Vacant (2020- ),Q6930119,Msambweni,,""
"",Fred Kapondi Chesebe,Q6930268,Mt. Elgon,Q27963537,Jubilee Party
"",James Onyango Oyoo,Q13651057,Muhoroni,Q1640905,Orange Democratic Movement
"",Anthony Githiaka Kiai,Q6933680,Mukurweini,Q27963537,Jubilee Party
"",Benjamin Jomo Washiali,Q47463462,Mumias East,Q27963537,Jubilee Party
"",Johnson Manya Naicca,Q47463461,Mumias West,Q1640905,Orange Democratic Movement
"",Abdullswamad Sheriff Nassir,Q6944580,Mvita,Q1640905,Orange Democratic Movement
"",Vincent Musyoka Musau,Q6944627,Mwala,Q47489396,Maendeleo Chap Chap Party
"",Andrew MWADIMA,Q6944699,Mwatate,Q1640905,Orange Democratic Movement
"",Josphat Kabinga Wachira,Q6944711,Mwea,Q27963537,Jubilee Party
"",Gideon Mutemi Mulyungi,Q47463420,Mwingi Central,Q5251223,Wiper Democratic Movement - Kenya
"",Paul Musyimi Nzengu,Q6944742,Mwingi North,Q5251223,Wiper Democratic Movement - Kenya
"",Charles Ngusya Nguna,Q47463419,Mwingi West,Q5251223,Wiper Democratic Movement - Kenya
"",Jayne Njeri Wanjiru Kihara,Q6959832,Naivasha,Q27963537,Jubilee Party
"",David Gikaria,Q55624571,Nakuru Town East,Q27963537,Jubilee Party
Q47493930,Samuel Arama,Q47463451,Nakuru Town West,Q27963537,Jubilee Party
"",Sakwa John Bunyasi,Q6961369,Nambale,Q47489380,Amani National Congress
"",Alfred Kiptoo Keter,Q47463441,Nandi Hills,Q27963537,Jubilee Party
"",Lemanken Aramat,Q24236157,Narok East,Q27963537,Jubilee Party
"",Richard Moitalel KENTA,Q6966106,Narok North,Q1640905,Orange Democratic Movement
"",Dr. Korei LEMEIN,Q6966109,Narok South,Q27963537,Jubilee Party
